Indicação de data e hora,Identificador do Artigo,Título do Artigo,Resumo do Artigo,Palavras Chaves do Artigo,Contribuição do Artigo,Papel suportado pela ferramenta,Representação | Query,Representação | Document,Reasoning (Estratégia),Qual ferramenta estendida ou utilizada pela extensão,O artigo utiliza a base de dados da ferramenta?,A solução proposta virou uma extensão da ferramenta?,O artigo será incluído no Mapeamento,Observações adicionais
01/12/2016 00:55:29,Hu:2014:EBT:2707683.2708297,EFFECTIVE BUG TRIAGE BASED ON HISTORICAL BUG-FIX INFORMATION,"For complex and popular software, project teams could receive a large number of bug reports. It is often tedious and costly to manually assign these bug reports to developers who have the expertise to fix the bugs. Many bug triage techniques have been proposed to automate this process. In this paper, we describe our study on applying conventional bug triage techniques to projects of different sizes. We find that the effectiveness of a bug triage technique largely depends on the size of a project team (measured in terms of the number of developers). The conventional bug triage methods become less effective when the number of developers increases. To further improve the effectiveness of bug triage for large projects, we propose a novel recommendation method called Bug Fixer, which recommends developers for a new bug report based on historical bug-fix information. Bug Fixer constructs a Developer-Component-Bug (DCB) network, which models the relationship between developers and source code components, as well as the relationship between the components and their associated bugs. A DCB network captures the knowledge of ""who fixed what, where"". For a new bug report, Bug Fixer uses a DCB network to recommend to triager a list of suitable developers who could fix this bug. We evaluate Bug Fixer on three large-scale open source projects and two smaller industrial projects. The experimental results show that the proposed method outperforms the existing methods for large projects and achieves comparable performance for small projects.",bug  report  assignment;  bug  triage;;   developer  recommendation; bug repository,"we propose a novel recommendation method called Bug Fixer, which recommends developers for a new bug report based on historical bug-fix information",Agendador,Keyword-basead,Vector space,"With Logic | Algebra, With Logic | Graph theories",Team Foundation  Server ,Sim,Não,Sim,
01/12/2016 00:59:24,Bissyande2013,EMPIRICAL EVALUATION OF BUG LINKING,"To collect software bugs found by users, development teams often set up bug trackers using systems such as Bugzilla. Developers would then fix some of the bugs and commit corresponding code changes into version control systems such as svn or git. Unfortunately, the links between bug reports and code changes are missing for many software projects as the bug tracking and version control systems are often maintained separately. Yet, linking bug reports to fix commits is important as it could shed light into the nature of bug fixing processes and expose patterns in software management. Bug linking solutions, such as ReLink, have been proposed. The demonstration of their effectiveness however faces a number of issues, including a reliability issue with their ground truth datasets as well as the extent of their measurements. We propose in this study a benchmark for evaluating bug linking solutions. This benchmark includes a dataset of about 12,000 bug links from 10 programs. These true links between bug reports and their fixes have been provided during bug fixing processes. We designed a number of research questions, to assess both quantitatively and qualitatively the effectiveness of a bug linking tool. Finally, we apply this benchmark on ReLink to report the strengths and limitations of this bug linking tool.","We propose in this study a benchmark for evaluating bug linking solutions. This benchmark includes a dataset of about 12,000 bug links from 10 programs.","AvaliançaWe propose in this study a benchmark for evaluating bug linking solutions. This benchmark includes a dataset of about 12,000 bug links from 10 programs.","Desenvolvedor, Analista de Qualidade",N/A,N/A,N/A,N/A,Não,Não,Não,Trata-se de um estudo de benchmark
01/12/2016 01:05:28,Moran:2015:EAA:2786805.2807557,ENHANCING ANDROID APPLICATION BUG REPORTING,"The modern software development landscape has seen a shift in focus toward mobile applications as smartphones and tablets near ubiquitous adoption. Due to this trend, the complexity of these “apps” has been increasing, making development and maintenance challenging. Current bug tracking systems do not effectively facilitate the creation of bug reports with useful information that will directly lead to a bug’s resolution. To address the need for an improved reporting system, we introduce a novel solution, called Fusion, that helps reporters auto-complete reproduction steps in bug reports for mobile apps by taking advantage of their GUI-centric nature. Fusion links information, that reporters provide, to program artifacts extracted through static and dynamic analysis performed beforehand. This allows our system to facilitate the reporting process for developers and testers, while generating more reproducible bug reports with immediately actionable information.","Bug reports, android, reproduction steps, auto-completion","we introduce a novel solution, called Fusion, that helps reporters auto-complete reproduction steps in bug reports for mobile apps by taking advantage of their GUI-centric nature.",Reportador,N/A,N/A,N/A,Fusion,Sim,Sim,Sim,
01/12/2016 01:08:42,Tomasev2013,EXPLOITING HUBS FOR SELF-ADAPTIVE SECONDARY RE-RANKING IN BUG REPORT DUPLICATE DETECTION,"Bug duplicate detection is an integral part of many bug tracking systems. Most bugs are reported multiple times and detecting the duplicates saves time and valuable resources. We propose a novel approach to potential duplicate report query ranking. Our secondary re-ranking procedure is self-adaptive, as it learns from previous report occurrences. It is based on the analysis of temporal evolution of the underlying distribution of influence. The experiments show definite improvements in system performance.","Bug   duplicates,   issue   tracking, ranking, hubs. ",We  propose  a  novel  approach  to potential  duplicate  report  query  ranking,"Agendador, Desenvolvedor",Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
01/12/2016 01:12:57,Liu2014,FACETED BUG REPORT SEARCH WITH TOPIC MODEL,"During bug reporting, The same bugs could be repeatedly reported. As a result, extra time could be spent on bug triaging and fixing. In order to reduce redundant effort, it is important to provide bug reporters with the ability to search for previously reported bugs efficiently and accurately. The existing bug tracking systems are using relatively simple ranking functions, which often produce unsatisfactory results. In this paper, we apply Ranking SVM, a Learning to Rank technique to construct a ranking model for accurate bug report search. Based on the search results, a topic model is used to cluster the bug reports into multiple facets. Each facet contains similar bug reports of the same topic. Users and testers can locate relevant bugs more efficiently through a simple query. We perform evaluations on more than 16,340 Eclipse and Mozilla bug reports. The evaluation results show that the proposed approach can achieve better search results than the existing search functions."," ranking SVM, bug report search, topic model, clustering, faceted search ","In this paper, we apply Ranking SVM, a Learning to Rank technique to construct a ranking model for accurate bug report search. Based on the search results, a topic model is used to cluster the bug reports into multiple facets.",Agendador,Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
01/12/2016 01:16:56,Caglayan:2012:FCR:2365324.2365327,FACTORS CHARACTERIZING REOPENED ISSUES: A CASE STUDY,"Background: Reopened issues may cause problems in managing software maintenance effort. In order to take actions that will reduce the likelihood of issue reopening the possible causes of bug reopens should be analysed. Aims: In this paper, we investigate potential factors that may cause issue reopening. Method: We have extracted issue activity data from a large release of an enterprise software product. We consider four dimensions, namely developer activity, issue proximity network, static code metrics of the source code changed to fix an issue, issue reports and fixes as possible factors that may cause issue reopening. We have done exploratory analysis on data. We build logistic regression models on data in order to identify key factors leading issue reopening. We have also conducted a survey regarding these factors with the QA Team of the product and interpreted the results. Results: Our results indicate that centrality in the issue proximity network and developer activity are important factors in issue reopening. We have also interpreted our results with the QA Team to point out potential implications for practitioners. Conclusions: Quantitative findings of our study suggest that issue complexity and developers workload play an important role in triggering issue reopening.","software maintenance,  issue management,  issue repository,
issue reopening.",Quantitative findings of our study suggest that issue complexity and developers workload play an important role in triggering issue reopening.,"Desenvolvedor, Analista de Qualidade",N/A,N/A,N/A,N/A,Sim,Não,Não,
01/12/2016 01:20:13,Romo:2014:FGD:2641580.2641592,FILLING THE GAPS OF DEVELOPMENT LOGS AND BUG ISSUE DATA,"it has been suggested that the data from bug repositories is
not always in sync or complete compared to the logs detail-
ing the actions of developers on source code.
In this paper, we trace two sources of information relative
to software bugs: the change logs of the actions of developers
and  the  issues  reported  as  bugs.   The  aim  is  to  identify
and quantify the discrepancies between the two sources in
recording and storing the developer logs relative to bugs.
Focussing on the databases produced by two mining soft-
ware repository tools, CVSAnalY and Bicho, we use part of
the SZZ algorithm to identify bugs and to compare how the
""defects- xing changes"" are recorded in the two databases.
We use a working example to show how to do so.
The  results  indicate  that  there  is  a  signi cant  amount
of  information,  not  in  sync  when  tracing  bugs  in  the  two
databases.   We,  therefore,  propose  an  automatic  approach
to re-align the two databases, so that the collected informa-
tion is mirrored and in sync","Bug traceability, bug- xing commits","In this paper, we trace two sources of information relative
to software bugs: the change logs of the actions of developers
and  the  issues  reported  as  bugs.   The  aim  is  to  identify
and quantify the discrepancies between the two sources in
recording and storing the developer logs relative to bugs.",N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,
01/12/2016 01:23:45,Lerch:2013:FDY:2495256.2495763,FINDING DUPLICATES OF YOUR YET UNWRITTEN BUG REPORT,"Software projects often use bug-tracking tools to keep track of reported bugs and to provide a communication platform to discuss possible solutions or ways to reproduce failures. The goal is to reduce testing efforts for the development team. However, often, multiple bug reports are committed for the same bug, which, if not recognized as duplicates, can result in work done multiple times by the development team. Duplicate recognition is, in turn, tedious, requiring to examine large amounts of bug reports. Previous work addresses this problem by employing natural-language processing and text similarity measures to automate bug-report duplicate detection. The downside of these techniques is that, to be applicable, they require a reporting user to go through the time-consuming process of describing the problem, just to get informed that the bug is already known. To address this problem, we propose an approach that only uses stack traces and their structure as input to machine-learning algorithms for detecting bug-report duplicates. The key advantage is that stack traces are available without a written bug report. Experiments on bug reports from the Eclipse project show that our approach performs as good as state-of-the-art techniques, but without requiring the whole text corpus of a bug report to be available"," bug report, stack trace, duplicate detection 
", we propose an approach that only uses stack traces and their structure as input to machine-learning algorithms for detecting bug-report duplicates,Agendador,Keyword-basead,Stream of characters,With Learning | Neural network,Bugzilla,Sim,Não,Sim,
03/12/2016 10:28:42,White:2015:GRR:2820282.2820291,GENERATING REPRODUCIBLE AND REPLAYABLE BUG REPORTS FROM ANDROID APPLICATION CRASHES,"Manually reproducing bugs is time-consuming and tedious. Software maintainers routinely try to reproduce unconfirmed issues using incomplete or no informative bug reports. Consequently, while reproducing an issue, the maintainer must augment the report with information - such as a reliable sequence of descriptive steps to reproduce the bug - to aid developers with diagnosing the issue. This process encumbers issue resolution from the time the bug is entered in the issue tracking system until it is reproduced. This paper presents Crash Droid, an approach for automating the process of reproducing a bug by translating the call stack from a crash report into expressive steps to reproduce the bug and a kernel event trace that can be replayed on-demand. Crash Droid manages trace ability links between scenarios' natural language descriptions, method call traces, and kernel event traces. We evaluated Crash Droid on several open-source Android applications infected with errors. Given call stacks from crash reports, Crash Droid was able to generate expressive steps to reproduce the bugs and automatically replay the crashes. Moreover, users were able to confirm the crashes faster with Crash Droid than manually reproducing the bugs or using a stress-testing tool.","Android, crash and bug reports, reproducibility","This paper presents Crash Droid, an approach for automating the process of reproducing a bug by translating the call stack from a crash report into expressive steps to reproduce the bug and a kernel event trace that can be replayed on-demand. Crash Droid manages trace ability links between scenarios' natural language descriptions, method call traces, and kernel event traces.","Desenvolvedor, Analista de Qualidade",N/A,N/A,N/A,N/A,Não,Não,Sim,
03/12/2016 10:43:19,Nagwani2013,GENERATING TAXONOMIC TERMS FOR SOFTWARE BUG CLASSIFICATION BY UTILIZING TOPIC MODELS BASED ON LATENT DIRICHLET ALLOCATION,Discovering categorical (taxonomic) terms in text classification is an important and complex problem. Development of a good text classifier depends on the method of identification and generation of proper taxonomic terms. Software bug indicates improper behavior of the functionalities given during the requirements. These bugs are tracked with the help of bug tracking systems (BTS) where the bug information is presented using several attributes out of which some important attributes are textual for example summary and description. For effective classification of the software bugs a good text classifying mechanism is required for which proper taxonomic terms are required to be identified. In this work a methodology is presented to find the taxonomic terms using Latent Dirichlet Allocation (LDA) for software bug classification.,"Bug Tracking Systems, Latent Dirichlet Allocation, Software Bug Attributes, Software Bug Classification, Taxonomic Terms",In this work a methodology is presented to find the taxonomic terms using Latent Dirichlet Allocation (LDA) for software bug classification.,Agendador,Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
03/12/2016 11:02:07,Izquierdo2015,GILA: GITHUB LABEL ANALYZER,"Reporting bugs, asking for new features and in general giving any kind of feedback is a common way to contribute to an Open-Source Software (OSS) project. In GitHub, the largest code hosting service for OSS, this feedback is typically expressed as new issues for the project managed by an issue-tracking system available in each new project repository. Among other features, the issue tracker allows creating and assigning labels to issues with the goal of helping the project community to better classify and manage those issues (e.g., facilitating the identification of issues for top priority components or candidate developers that could solve them). Nevertheless, as the project grows a manual browsing of the project issues is no longer feasible. In this paper we present GiLA, a tool which generates a set of visualizations to facilitate the analysis of issues in a project depending on their label-based categorization. We believe our visualizations are useful to see the most popular labels (and their relationships) in a project, identify the most active community members for those labels and compare the typical issue evolution for each label category.",Git; label-based categorization; visualization,"we present GiLA, a tool which generates a set of visualizations to facilitate the analysis of issues in a project depending on their label-based categorization. ","Agendador, Desenvolvedor, Analista de Qualidade",N/A,N/A,N/A,Github issue tracking,Sim,Não,Sim,
03/12/2016 11:12:43,Liu:2012:TBR:2393596.2393628,HAS THIS BUG BEEN REPORTED?,"Bug reporting is essentially an uncoordinated process. The same bugs could be repeatedly reported because users or testers are unaware of previously reported bugs. As a result, extra time could be spent on bug triaging and fixing. In order to reduce redundant effort, it is important to provide bug reporters with the ability to search for previously reported bugs. The search functions provided by the existing bug tracking systems are using relatively simple ranking functions, which often produce unsatisfactory results. In this paper, we adopt Ranking SVM, a Learning to Rank technique to construct a ranking model for effective bug report search. We also propose to use the knowledge of Wikipedia to discover the semantic relations among words and documents. Given a user query, the constructed ranking model can search for relevant bug reports in a bug tracking system. Unlike related works on duplicate bug report detection, our approach retrieves existing bug reports based on short user queries, before the complete bug report is submitted. We perform evaluations on more than 16,340 Eclipse and Mozilla bug reports. The evaluation results show that the proposed approach can achieve better search results than the existing search functions provided by Bugzilla and Lucene. We believe our work can help users and testers locate potential relevant bug reports more precisely.","bug report, duplicate, learning to rank, search quality ","We  propose  a  novel  approach  by  using  LTR  to  search  for  
potentially  related  bug  reports  in  a  bug  tracking  system.  Our  
method uses a set of proposed features of bug reports and queries","Agendador, Desenvolvedor, Analista de Qualidade",Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
03/12/2016 11:19:44,Zhang:2013:HNA:2569431.2569763,HETEROGENEOUS NETWORK ANALYSIS OF DEVELOPER CONTRIBUTION IN BUG REPOSITORIES,"Using a bug repository, developers contribute to improve the quality of software incrementally by creating and updating bug reports. All the software artifacts in bug repositories are derived from developer contribution. Most prior studies on developer contribution in bug repositories bias on one particular form, e.g., commenting bug reports. However, in real practice of bug repositories, developers participate in and contribute to software projects via multiple ways, e.g., reporting new bugs, reopening incorrectly fixed bugs, commenting unfixed bug reports, and fixing unsolved bugs. In this paper, we exploit recent advances in analysis of heterogeneous network to avoid biased aspects in measuring developer contribution and explore multiple types of developer contribution in bug repositories. Further, we consider leveraging such multiple types of developer contribution to assist a typical prediction problem in bug repositories, i.e., bug triage. Empirical studies on bug repositories of Eclipse and Mozilla show that our approach can provide enriched knowledge of developer contribution to improve the resolution of bug triage. This study strongly suggests using the promising aspects of heterogeneous network can open many actionable insights in analyzing software repositories.", contribution; heterogeneous network; bug triage,"we exploit recent advances in analysis of heterogeneous network to avoid biased aspects in measuring developer contribution and explore multiple types of developer contribution in bug repositories. Further, we consider leveraging such multiple types of developer contribution to assist a typical prediction problem in bug repositories, i.e., bug triage.",Agendador,N/A,N/A,N/A,N/A,Sim,Não,Não,
03/12/2016 12:49:48,Vijayakumar2014,HOW MUCH EFFORT NEEDED TO FIX THE BUG? A DATA MINING APPROACH FOR EFFORT ESTIMATION AND ANALYSING OF BUG REPORT ATTRIBUTES IN FIREFOX,"Estimating the effort required to fix a bug is a significant task for the project manager to determine the project release. Among various ways to estimate the effort, analysis of bug report attributes proved excellent results. In this paper the effort required to fix the bug on the components of Firefox application is studied. A framework has been charted for analysing the feature attributes which on imparting association rule mining process resulted with dictating rules which provide the effort succumb to fix the bugs of a particular component. The bug reports used for this study are extracted from Bugzilla, an open source bug repository. These bug reports provides a variety of categorical data from previous projects. Analysis of this can improve the planning of personnel to fix the bug and raise the quality of bug reports.","repository, data mining, association rules, component, Bugzilla, bug report, severity",In this paper the effort required to fix the bug on the components of Firefox application is studied. A framework has been charted for analysing the feature attributes which on imparting association rule mining process resulted with dictating rules which provide the effort succumb to fix the bugs of a particular component.,"Reportador, Gerente de Requisição de Mudança, Desenvolvedor, Lider da Manutenção",N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
03/12/2016 13:10:58,Gegick2010,IDENTIFYING SECURITY BUG REPORTS VIA TEXT MINING: AN INDUSTRIAL CASE STUDY,"A bug-tracking system such as Bugzilla contains bug reports (BRs) collected from various sources such as development teams, testing teams, and end users. When bug reporters submit bug reports to a bug-tracking system, the bug reporters need to label the bug reports as security bug reports (SBRs) or not, to indicate whether the involved bugs are security problems. These SBRs generally deserve higher priority in bug fixing than not-security bug reports (NSBRs). However, in the bug-reporting process, bug reporters often mislabel SBRs as NSBRs partly due to lack of security domain knowledge. This mislabeling could cause serious damage to software-system stakeholders due to the induced delay of identifying and fixing the involved security bugs. To address this important issue, we developed a new approach that applies text mining on natural-language descriptions of BRs to train a statistical model on already manually-labeled BRs to identify SBRs that are manually-mislabeled as NSBRs. Security engineers can use the model to automate the classification of BRs from large bug databases to reduce the time that they spend on searching for SBRs. We evaluated the model's predictions on a large Cisco software system with over ten million source lines of code. Among a sample of BRs that Cisco bug reporters manually labeled as NSBRs in bug reporting, our model successfully classified a high percentage (78%) of the SBRs as verified by Cisco security engineers, and predicted their classification as SBRs with a probability of at least 0.98.","bug-tracking system, security bug reports, text mining, industrial case study, Bugzilla, development teams, testing teams, end users, software system stakeholders, natural language descriptions, statistical model, Cisco software system, Cisco security engineers",we developed a new approach that applies text mining on natural-language descriptions of BRs to train a statistical model on already manually-labeled BRs to identify SBRs that are manually-mislabeled as NSBRs,"Gerente de Requisição de Mudança, Agendador, Desenvolvedor, Analista de Qualidade",TAGS,Stream of characters,With Learning | Neural network,Bugzilla,Sim,Não,Sim,
03/12/2016 15:01:00,Tian2012,IMPROVED DUPLICATE BUG REPORT IDENTIFICATION,"Bugs are prevalent in software systems. To improve the reliability of software systems, developers often allow end users to provide feedback on bugs that they encounter. Users could perform this by sending a bug report in a bug report management system like Bugzilla. This process however is uncoordinated and distributed, which means that many users could submit bug reports reporting the same problem. These are referred to as duplicate bug reports. The existence of many duplicate bug reports may cause much unnecessary manual efforts as often a triager would need to manually tag bug reports as being duplicates. Recently, there have been a number of studies that investigate duplicate bug report problem which in effect answer the following question: given a new bug report, retrieve k other similar bug reports. This, however, still requires substantive manual effort which could be reduced further. Jalbert and Weimer are the first to introduce the direct detection of duplicate bug reports; it answers the question: given a new bug report, classify if it as a duplicate bug report or not. In this paper, we extend Jalbert and Weimer's work by improving the accuracy of automated duplicate bug report identification. We experiments with bug reports from Mozilla bug tracking system which were reported between February 2005 to October 2005, and find that we could improve the accuracy of the previous approach by about 160%. © 2012 IEEE.","Bugzilla, Duplicate bug reports, relative similarity","Jalbert and Weimer are the first to introduce the direct detection of duplicate bug reports; it answers the question: given a new bug report, classify if it as a duplicate bug report or not. In this paper, we extend Jalbert and Weimer's work by improving the accuracy of automated duplicate bug report identification. ","Agendador, Desenvolvedor, Lider da Manutenção",Keyword-basead,Stream of characters,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
03/12/2016 15:07:38,Sasso2014,IN * BUG: VISUAL ANALYTICS OF BUG REPOSITORIES,"Bug tracking systems are used to track and store the defects reported during the life of software projects. The underlying repositories represent a valuable source of information used for example for defect prediction and program comprehension. However, bug tracking systems present the actual bugs essentially in textual form, which is not only cumbersome to navigate, but also hinders the understanding of the intricate pieces of information that revolve around software bugs. We present in*Bug, a web-based visual analytics platform to navigate and inspect bug repositories. in*Bug provides several interactive views to understand detailed information about the bugs and the people that report them. The tool can be downloaded at http://inbug.inf.usi.ch","Web-based visual analytics platform, in*Bug, bug repositories, bug tracking systems, software projects, information repositories, defect prediction, program comprehension, software bugs","We present in*Bug, a web-based visual analytics platform to navigate and inspect bug repositories. in*Bug provides several interactive views to understand detailed information about the bugs and the people that report them.",Todos,N/A,N/A,N/A,FogBugz,Sim,Não,Sim,
03/12/2016 15:14:32,Breu:2010:INB:1718918.1718973,INFORMATION NEEDS IN BUG REPORTS: IMPROVING COOPERATION BETWEEN DEVELOPERS AND USERS,"For many software projects, bug tracking systems play a central role in supporting collaboration between the developers and the users of the software. To better understand this collaboration and how tool support can be improved, we have quantitatively and qualitatively analysed the questions asked in a sample of 600 bug reports from the MOZILLA and ECLIPSE projects. We categorised the questions and analysed response rates and times by category and project. Our results show that the role of users goes beyond simply reporting bugs: their active and ongoing participation is important for making progress on the bugs they report. Based on the results, we suggest four ways in which bug tracking systems can be improved.","Bug Reports, Information Needs, Questions, Response Rate, Response Time, Question Time", the role of users goes beyond simply reporting bugs: their active and ongoing participation is important for making progress on the bugs they report,Todos,N/A,N/A,N/A,Bugzilla,Sim,Não,Não,Trata-se da análise dos bug reports para propor melhorias nas FGRM.
03/12/2016 15:20:47,Kshirsagar:2015:ITS:2818567.2818575,ISSUE TRACKING SYSTEM WITH DUPLICATE ISSUE DETECTION,"Software quality is very important. There are many software development organizations of different sizes. Quality Assurance System (QAS) is a software application that is designed to help testing team and software developers to keep track of whatever the bugs present in the work. It is also called as Bug Tracking System/Issue tracking system (ITS).Complete and proper information in the bug report helps developers to quickly and easily solve the bug. Analysis of the existing ITS is done to find out limitations. Numbers of ITS are focusing only on large organizations. Small organizations where single resource may have many role and constantly changing number of resources per project. Implemented system is focusing on small as well as big organizations. Implemented system tries to find out facilities which are absent in existing systems and adding feature as duplicate issue detection effectively and calculate developers performance. The system is able to store all the details of project starting phase to its completion. In the system, total time required to complete the given task is calculated so that it is able to find out software developers performance or track duration required to complete any project. As employees performance is calculated through the system, employee can easily find out where he/she lags behind. So that employee can improve their performance to get appraisal. Ultimately, it helps to increase productivity, reduce downtime. To get appraisal, employee can work efficiently, the project get completed within a given time. So, it will definitely increase client satisfaction","Duplicate detection, ITS, bugs, Issue, QAS ",N/A,Todos,N/A,N/A,N/A,N/A,Sim,Não,Não,O artigo avalia  ferramentas.
03/12/2016 15:24:54,Song2010a,JDF: DETECTING DUPLICATE BUG REPORTS IN JAZZ,"Both developers and users submit bug reports to a bug repository. These reports can help reveal defects and improve software quality. As the number of bug reports in a bug repository increases, the number of the potential duplicate bug reports increases. Detecting duplicate bug reports helps reduce development efforts in fixing defects. However, it is challenging to manually detect all potential duplicates because of the large number of existing bug reports. This paper presents JDF (representing Jazz Duplicate Finder), a tool that helps users to find potential duplicates of bug reports on Jazz, which is a team collaboration platform for software development and process management. JDF finds potential duplicates for a given bug report using natural language and execution information. © 2010 ACM.","bug report, execution information, information retrieval","This paper presents JDF (representing Jazz Duplicate Finder), a tool that helps users to find potential duplicates of bug reports on Jazz, which is a team collaboration platform for software development and process management. JDF finds potential duplicates for a given bug report using natural language and execution information","Agendador, Desenvolvedor, Analista de Qualidade",Keyword-basead,Stream of characters,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
03/12/2016 15:27:53,Bangcharoensap:2012:LSC:2419061.2419428,LOCATING SOURCE CODE TO BE FIXED BASED ON INITIAL BUG REPORTS - A CASE STUDY ON THE ECLIPSE PROJECT,"In most software development, a Bug Tracking System is used to improve software quality. Based on bug reports managed by the bug tracking system, triagers who assign a bug to fixers and fixers need to pinpoint buggy files that should be fixed. However if triagers do not know the details of the buggy file, it is difficult to select an appropriate fixer. If fixers can identify the buggy files, they can fix the bug in a short time. In this paper, we propose a method to quickly locate the buggy file in a source code repository using 3 approaches, text mining, code mining, and change history mining to rank files that may be causing bugs. (1) The text mining approach ranks files based on the textual similarity between a bug report and source code. (2) The code mining approach ranks files based on prediction of the fault-prone module using source code product metrics. (3) The change history mining approach ranks files based on prediction of the fault-prone module using change process metrics. Using Eclipse platform project data, our proposed model gains around 20% in TOP1 prediction. This result means that the buggy files are ranked first in 20% of bug reports. Furthermore, bug reports that consist of a short description and many specific words easily identify and locate the buggy file.","Change history mining, Bug localization, Text mining, Code mining","In this paper, we propose a method to quickly locate the buggy file in a source code repository using 3 approaches, text mining, code mining, and change history mining to rank files that may be causing bugs",Agendador,Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
03/12/2016 15:31:31,Sasso:2014:MSD:2705615.2706091,MANAGING SOFTWARE DEFECTS,"Developers use bug tracking systems to manage the defects that arise during software development. Those systems allow the users to submit reports that describe the failure and the possible causes that led to the error. Bug trackers have evolved and adapted their interfaces to guide the user through the submission of relevant information. However, despite the refinement of the interfaces and improvements, such as the gathering of metadata describing the runtime context, the description of a defect is still composed of plain text. This representation allows flexibility in describing a defect, but the information included in the report is hard to extract and interpret, thus representing an ineffective and unintuitive method to precisely describe a problem. Our work aims to improve the workflow of developers in dealing with bug reports. This begins with promoting a bug report -- often considered as a side effect of the development process -- to independent entity with specific properties that can be exploited to describe and understand a system. We believe that, by automating the steps that lead to the creation of a bug report, we can generate meaningful information that can be automatically elaborated to produce insightful views on the failure environment, like interactive visualizations or linking with artifacts produced during development, and aid the interpretation of a bug report. Finally, we want to integrate the reporting process with elements from game design theory, to stimulate interaction between developers and people in the community and create fruitful cooperation in software ecosystems.",N/A,"Improve how bug reports are collected and managed,
using techniques to automatically extract data from a
failure of a program",Todos,N/A,N/A,N/A,N/A,Não,Não,Não,Não se trata de artigo sobre funcionalidades de uma ferramenta.
03/12/2016 16:05:05,Tu:2014:MQI:2677832.2677844,MEASURING THE QUALITY OF ISSUE TRACKING DATA,"Source code and its development history can represent the output and process of developing software. [1] But little attention has been devoted to the data quality. To help researchers and practioners preliminary evaluate the software development data they used in studies, we design a tool, Data Quality Evaluator (DQE), to measure the software development data, especially the data completeness of issue reports in an open source software (OSS) project’s issue tracking system (ITS). It is judged from three metrics -- the coherence of issue reports’ ID, the existence of an issue report’s basic information and activity information, and the completeness of changes on an issue report status. DQE will analyze the data submitted by users, and show users the data quality evaluation chart from three aspects. We had DQE applied to the GNOME community’s issue-tracking data that we collected for research, and we obtained the result of data quality evaluation. Next, we will continue to apply DQE to more software development data, so that we can help researchers and practioners conveniently get an initial evaluation of data quality.","Quality Evaluator,Issue Report,, Data Quality","To help researchers and practioners preliminary evaluate the software development data they used in studies, we design a tool, Data Quality Evaluator (DQE), to measure the software development data, especially the data completeness of issue reports in an open source software (OSS) project’s issue tracking system (ITS)","Reportador, Agendador, Desenvolvedor, Analista de Qualidade",N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
03/12/2016 16:11:34,Aggarwal:2014:MIT:2593801.2593810,"MINING ISSUE TRACKING SYSTEMS USING TOPIC MODELS FOR TREND ANALYSIS, CORPUS EXPLORATION, AND UNDERSTANDING EVOLUTION","Issue Tracking systems (ITS) such as Google Code Hosting and Bugzilla facilitate software maintenance activities through bug reporting, archiving and fixing. The large number of bug reports and their unstructured text makes it impractical for developers to manually extract actionable intelligence to expedite bug fixing. In this paper, we present an application of mining bug report description and threaded discussion comments using Latent Dirichlet Allocation (LDA) which is a topic modeling technique. We apply LDA on the Chromium Browser Project bug archives (open-source) to extract topics (discovery of semantically related terms) and the latent semantic relationship between documents (bug reports) and extracted topics for corpus exploration, trend analysis and understanding evolution in maintenance domain. We conduct a series of experiments to uncover latent topics potentially useful for developers and testers based on the bug meta-data such as time, priority, type, category and status. The analysis of reopened and duplicate bugs in particular, has important inferences for the developers and can help in applications such as expertise modeling, resource allocation and knowledge management.","Topic  Modeling,  Latent  Dirichlet  Allocation,  Issue  Tracking  System,  Software  Maintenance,  Bugs,  Defect  Tracking","In this paper, we present an application of mining bug report description and threaded discussion comments using Latent Dirichlet Allocation (LDA) which is a topic modeling technique","Agendador, Desenvolvedor, Analista de Qualidade",Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Google Chromium bug database ,Sim,Não,Sim,
